,Unnamed: 0,Country,Clusters,Current account balance_Percent of GDP_average,Current account balance_U.S. dollars_average,General government gross debt_National currency_average,General government gross debt_Percent of GDP_average,General government net lending/borrowing_National currency_average,General government net lending/borrowing_Percent of GDP_average,General government primary net lending/borrowing_National currency_average,General government primary net lending/borrowing_Percent of GDP_average,General government revenue_National currency_average,General government revenue_Percent of GDP_average,General government total expenditure_National currency_average,General government total expenditure_Percent of GDP_average,Gross domestic product based on purchasing-power-parity (PPP) share of world total_Percent_average,"Gross domestic product corresponding to fiscal year, current prices_National currency_average","Gross domestic product per capita, constant prices_National currency_average","Gross domestic product per capita, constant prices_Purchasing power parity; 2017 international dollar_average","Gross domestic product per capita, current prices_National currency_average","Gross domestic product per capita, current prices_Purchasing power parity; international dollars_average","Gross domestic product per capita, current prices_U.S. dollars_average","Gross domestic product, constant prices_National currency_average","Gross domestic product, constant prices_Percent change_average","Gross domestic product, current prices_National currency_average","Gross domestic product, current prices_Purchasing power parity; international dollars_average","Gross domestic product, current prices_U.S. dollars_average","Gross domestic product, deflator_Index_average",Gross national savings_Percent of GDP_average,Implied PPP conversion rate_National currency per current international dollar_average,"Inflation, average consumer prices_Index_average","Inflation, average consumer prices_Percent change_average","Inflation, end of period consumer prices_Index_average","Inflation, end of period consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Volume of Imports of goods_Percent change_average,Volume of exports of goods_Percent change_average,Volume of exports of goods and services_Percent change_average,Volume of imports of goods and services_Percent change_average
13,13,Bangladesh,3.0,-0.0290000000000001,-0.7827272727272727,5820.764545454545,35.36154545454546,-678.44,-3.817090909090909,-359.8132727272728,-1.8909090909090909,1672.229,10.301272727272726,2350.6690909090908,14.118545454545457,0.5391818181818182,16425.406363636364,54243.72363636364,4037.817272727273,103900.05727272728,3942.354545454545,1304.6045454545456,8522.811818181819,6.464454545454545,16425.406363636364,620.6602727272727,205.9177272727272,185.62272727272727,29.403909090909096,27.25990909090909,214.48154545454543,6.855090909090908,230.6645454545455,6.916272727272728,156.19372727272727,29.20190909090909,9.720454545454546,7.954545454545452,8.578272727272726,9.593454545454549
14,14,Barbados,3.0,-6.451454545454545,-0.304,12.797909090909092,134.64927272727274,-0.4959090909090909,-5.335818181818183,0.0511818181818181,0.4249999999999999,2.6322727272727278,27.67354545454545,3.1282727272727278,33.00954545454545,0.004,9.507272727272728,31422.45181818182,15261.090000000002,33602.93818181818,15608.974545454546,16801.468181818185,8.92218181818182,-1.7644545454545453,9.544818181818185,4.432090909090909,4.772454545454546,107.13545454545452,9.674272727272728,2.1555454545454547,171.55209090909094,3.5318181818181817,175.2090909090909,3.550272727272727,0.284090909090909,16.125636363636364,0.845,7.066727272727274,-1.902727272727273,-1.078909090909091
15,15,Belarus,4.0,-4.808,-3.078181818181818,39.91045454545454,45.80290909090908,-0.675,-1.1537272727272727,0.723,0.3123636363636363,33.04781818181818,38.71863636363637,33.72263636363636,39.87245454545455,0.1545454545454545,85.89518181818181,12673.64363636364,18554.480000000003,9093.818181818182,18354.62272727273,6558.349999999999,119.79745454545454,1.5620000000000005,85.89518181818181,173.47963636363636,61.98818181818182,71.13563636363637,27.342272727272725,0.4825454545454546,579.3131818181819,18.54418181818182,610.2708181818182,19.811,9.45309090909091,32.150090909090906,2.5673636363636363,4.327363636363636,4.844454545454546,2.5957272727272724
16,16,Belgium,4.0,0.306,1.424909090909091,435.3955454545455,104.12136363636364,-13.71381818181818,-3.317181818181818,-3.4419090909090917,-0.8140909090909091,214.3846363636364,51.273818181818186,228.0981818181818,54.59109090909092,0.4673636363636363,418.26309090909086,36933.78636363636,49595.58727272727,37209.00818181818,46939.09818181818,45276.55,414.8244545454545,0.8686363636363637,418.26309090909086,527.9150909090908,508.355,100.66154545454546,24.346909090909094,0.7950909090909092,101.04218181818182,1.6957272727272723,101.9018181818182,1.691727272727273,11.228454545454548,24.04072727272727,1.087,1.4268181818181815,1.4268181818181815,1.087
17,17,Belize,3.0,-6.552181818181818,-0.1152727272727272,3.049090909090909,89.7689090909091,-0.1238181818181818,-3.574909090909091,-0.0229999999999999,-0.5845454545454546,0.9798181818181818,28.913,1.1035454545454544,32.488090909090914,0.0021818181818181,3.3786363636363634,7135.580909090909,6998.103636363637,9135.23,7115.219090909091,4567.613636363636,2.6269090909090904,0.702363636363636,3.3786363636363634,2.62,1.689272727272727,128.2848181818182,10.170818181818184,1.2863636363636364,97.93854545454546,0.6417272727272727,97.9069090909091,0.5965454545454546,0.3693636363636363,16.723090909090907,2.154181818181818,-3.1704545454545454,-0.9699090909090906,1.9171818181818177
18,18,Benin,2.0,-4.844636363636363,-0.5995454545454545,2201.1032727272727,30.73263636363636,-177.87054545454544,-2.432272727272727,-110.88618181818184,-1.5494545454545454,908.060090909091,13.364454545454544,1085.9311818181818,15.796818181818184,0.027090909090909,6787.043636363636,643128.9872727272,2976.1154545454547,633736.629090909,2897.6672727272726,1173.2727272727273,6866.083636363636,4.694545454545454,6787.043636363636,31.09918181818182,12.492272727272727,98.30254545454544,15.890454545454547,219.37581818181815,99.499,1.4267272727272728,99.539,1.2542727272727274,10.613999999999995,20.735,4.6619090909090914,4.689272727272726,4.179454545454545,3.820818181818181
20,20,Bhutan,3.0,-23.858,-0.4706363636363637,127.72045454545456,97.81163636363635,-2.0391818181818184,-1.1608181818181815,-0.141,0.559090909090909,38.90809090909091,32.74881818181818,40.94736363636363,33.909454545454544,0.0059090909090909,124.20572727272726,80438.82818181819,9886.40636363636,173391.4827272727,9355.49727272727,2827.3554545454544,57.31518181818182,5.513000000000001,124.20572727272726,6.6877272727272725,2.0154545454545456,211.51390909090912,28.296454545454548,18.283636363636365,199.97127272727275,6.00909090909091,200.61890909090909,6.258181818181819,0.7091818181818182,53.24581818181819,0.1566363636363632,-1.9448181818181811,-1.4628181818181822,0.5028181818181817
21,21,Bosnia and Herzegovina,3.0,-5.560818181818181,-1.005181818181818,11.779545454545456,40.29872727272727,-0.3011818181818181,-1.158090909090909,-0.0800909090909091,-0.4122727272727274,12.648818181818182,42.99045454545455,12.950090909090909,44.14845454545456,0.0376363636363636,29.48854545454545,8422.378181818181,12843.15909090909,8573.168181818182,12440.978181818182,5298.599090909092,29.020636363636367,1.4655454545454547,29.48854545454545,42.762,18.27763636363636,101.3059090909091,13.370272727272727,0.691,100.06545454545454,0.5730000000000001,104.33645454545456,0.5547272727272727,3.460363636363637,18.930636363636363,2.100363636363636,6.963727272727274,4.623636363636364,1.9115454545454549
22,22,Botswana,4.0,0.0789999999999998,0.020090909090909,25.30163636363636,18.113727272727274,-3.909272727272727,-2.412818181818182,-3.283454545454545,-1.9851818181818184,48.16345454545455,34.42972727272727,52.072545454545455,36.84254545454546,0.0287272727272727,142.638,73590.28545454546,15134.009090909089,64930.105454545446,15089.560909090913,7043.319090909091,158.0660909090909,3.487636363636364,140.33836363636362,32.467727272727274,15.094363636363637,87.65181818181817,32.33081818181818,4.267636363636363,296.6150909090909,4.572090909090909,292.34118181818184,4.454545454545454,2.143181818181818,30.704090909090905,9.605818181818185,7.427363636363636,7.247363636363638,8.217909090909092
23,23,Brazil,3.0,-2.7937272727272733,-60.50327272727273,4505.49090909091,74.15290909090908,-409.822,-6.476454545454545,-84.82481818181819,-0.9807272727272728,1872.9318181818185,32.143090909090915,2282.752727272727,38.61972727272728,2.734909090909091,5899.743636363637,5826.839090909091,15049.204545454546,28878.636363636364,15021.10090909091,10374.749090909088,1184.4072727272726,0.9608181818181816,5899.743636363637,3055.294545454545,2101.2927272727275,497.9969999999999,15.406,1.9230909090909087,28197930831231.7,5.585272727272727,28899298676547.285,5.731454545454546,203.39709090909085,18.199727272727277,4.674,3.103,2.803818181818182,3.985
