,Region,Country/Territory,2011,2021,Type,2015,2019,2010,Country Code,Year,Value,2017
41,South and Central America,Cuba,9.4,7.6,Country,12.0,9.6,9.5,CUB,2017,8.27,8.3
42,Europe,Cyprus,9.3,8.6,Country,10.0,9.0,9.1,CYP,2017,9.24,9.2
43,Europe,Denmark,5.6,5.3,Country,9.9,8.3,5.6,DNK,2017,6.41,6.4
44,Africa,Djibouti,6.3,7.4,Country,7.4,5.1,5.3,DJI,2017,6.05,6.0
45,North America and Caribbean,Dominica,8.9,11.7,Country,12.0,11.6,11.5,DMA,2017,11.62,11.6
46,South and Central America,Dominican Republic,8.1,10.5,Country,8.1,8.6,11.2,DOM,2017,8.2,8.2
47,South and Central America,Ecuador,6.6,4.4,Country,8.5,5.5,5.9,ECU,2017,5.55,5.6
48,South and Central America,El Salvador,9.4,6.3,Country,8.8,8.8,9.0,SLV,2017,8.87,8.9
49,Africa,Equatorial Guinea,4.2,5.5,Country,7.0,6.0,4.8,GNQ,2017,7.78,7.8
50,Africa,Eritrea,3.6,6.5,Country,3.0,5.1,2.5,ERI,2017,6.05,6.0
51,Europe,Estonia,7.0,6.5,Country,6.0,4.2,7.6,EST,2017,4.02,4.0
52,Africa,Ethiopia,3.4,5.0,Country,2.9,4.3,2.5,ETH,2017,7.47,7.5
53,Western Pacific,Fiji,10.9,17.7,Country,13.0,14.7,9.4,FJI,2017,14.49,14.5
54,Europe,Finland,5.8,6.1,Country,9.0,5.6,5.7,FIN,2017,5.76,5.8
55,Europe,France,5.4,5.3,Country,7.4,4.8,6.7,FRA,2017,4.77,4.8
56,Western Pacific,French Polynesia,8.6,25.2,Country,19.0,19.5,13.8,PYF,2017,22.63,22.6
57,Africa,Gabon,10.3,5.5,Country,6.8,6.0,5.0,GAB,2017,7.2,7.2
58,Europe,Georgia,2.8,5.7,Country,7.5,5.8,7.5,GEO,2017,7.11,7.1
59,Europe,Germany,5.3,6.9,Country,10.0,10.4,8.9,DEU,2017,8.31,8.3
60,Africa,Ghana,5.0,2.6,Country,1.9,2.5,4.3,GHA,2017,4.97,5.0
