Country,Current account balance_Percent of GDP_average,Current account balance_U.S. dollars_average,General government gross debt_National currency_average,General government gross debt_Percent of GDP_average,General government net lending/borrowing_National currency_average,General government net lending/borrowing_Percent of GDP_average,General government primary net lending/borrowing_National currency_average,General government primary net lending/borrowing_Percent of GDP_average,General government revenue_National currency_average,General government revenue_Percent of GDP_average,General government total expenditure_National currency_average,General government total expenditure_Percent of GDP_average,Gross domestic product based on purchasing-power-parity (PPP) share of world total_Percent_average,"Gross domestic product corresponding to fiscal year, current prices_National currency_average","Gross domestic product per capita, constant prices_National currency_average","Gross domestic product per capita, constant prices_Purchasing power parity; 2017 international dollar_average","Gross domestic product per capita, current prices_National currency_average","Gross domestic product per capita, current prices_Purchasing power parity; international dollars_average","Gross domestic product per capita, current prices_U.S. dollars_average","Gross domestic product, constant prices_National currency_average","Gross domestic product, constant prices_Percent change_average","Gross domestic product, current prices_National currency_average","Gross domestic product, current prices_Purchasing power parity; international dollars_average","Gross domestic product, current prices_U.S. dollars_average","Gross domestic product, deflator_Index_average",Gross national savings_Percent of GDP_average,Implied PPP conversion rate_National currency per current international dollar_average,"Inflation, average consumer prices_Index_average","Inflation, average consumer prices_Percent change_average","Inflation, end of period consumer prices_Index_average","Inflation, end of period consumer prices_Percent change_average",Population_Persons_average,Total investment_Percent of GDP_average,Volume of Imports of goods_Percent change_average,Volume of exports of goods_Percent change_average,Volume of exports of goods and services_Percent change_average,Volume of imports of goods and services_Percent change_average,Region,cluster,HDI_Average,Education Index_average
Mexico,-1.2755454545454543,-15.558,9768.182727272726,50.3349090909091,-605.2289090909089,-3.282272727272728,12.95890909090909,-0.12009090909090898,4573.125454545454,24.036636363636365,5178.354545454546,27.31890909090909,1.9885454545454544,19027.140909090907,139977.70636363636,19098.442727272733,156222.82363636358,18495.199090909093,9773.103636363636,16967.41363636364,1.6702727272727278,19027.140909090907,2246.384545454546,1182.200909090909,111.29699999999998,21.21081818181818,8.396181818181818,89.15118181818183,3.909818181818182,91.07581818181818,3.9016363636363636,121.1131818181818,22.486272727272723,4.094727272727273,5.796636363636362,5.5723636363636375,3.855545454545455,North America and Caribbean,1,0.7639,0.6681
Mongolia,-19.52318181818182,-2.299181818181818,15788.617272727273,60.68645454545454,-976.95,-4.0474545454545465,-358.5682727272727,-1.781727272727273,7021.332727272727,29.62754545454545,7998.2818181818175,33.6749090909091,0.0285454545454545,23876.384545454544,4958003.223636364,10338.346363636363,7668301.053636364,10549.135454545454,3835.811818181819,15260.481818181817,6.583000000000001,23876.384545454544,32.472272727272724,11.753545454545455,151.097,19.72981818181818,709.7036363636363,95.15427272727273,7.646909090909091,97.32727272727274,7.564727272727272,3.0557272727272733,39.25327272727272,12.936727272727273,8.904363636363636,7.787727272727272,13.454181818181816,Western Pacific,3,0.7247,0.7367
Montenegro,-15.886272727272727,-0.7387272727272727,2.6086363636363643,66.51372727272728,-0.2112727272727273,-5.498636363636364,-0.1306363636363636,-3.433545454545455,1.5808181818181817,41.2349090909091,1.791909090909091,46.73354545454546,0.0093636363636363,3.827818181818182,4272.931818181819,18489.96181818182,6158.979090909092,17231.583636363634,7455.346363636365,2.6554545454545457,1.2277272727272726,3.827818181818182,10.709727272727275,4.633181818181818,143.35445454545453,9.000272727272726,0.3585454545454545,291.34954545454553,1.442,264.5311818181818,1.387909090909091,0.6212727272727272,24.94818181818182,1.7480909090909096,1.1416363636363631,0.3092727272727267,1.9860909090909096,Europe,6,0.815,0.7931
Morocco,-5.010818181818182,-5.296363636363638,609.8161818181818,62.04309090909091,-49.40136363636364,-5.141090909090909,-25.113000000000003,-2.6463636363636365,261.76172727272734,26.98290909090909,311.16290909090907,32.12409090909091,0.2203636363636364,971.9000909090907,25893.48545454545,7192.011818181816,28415.57363636364,7275.949090909091,3133.172727272727,884.6560909090911,2.5991818181818176,971.9000909090907,248.66881818181812,106.9549090909091,109.5538181818182,27.87036363636364,3.900727272727273,97.90645454545457,0.937818181818182,98.20981818181818,0.937181818181818,34.10090909090909,32.881,2.5448181818181816,6.6813636363636375,4.133727272727273,2.151,Middle East and North Africa,5,0.6537,0.5129
Mozambique,-29.35936363636363,-4.440363636363637,600.4490000000002,79.46972727272728,-28.611363636363638,-4.403727272727274,-12.926545454545458,-2.432454545454545,181.3709090909091,26.78063636363636,209.98227272727271,31.18409090909091,0.0286363636363636,671.7458181818182,20873.254545454543,1202.257272727273,24209.250909090908,1194.0010909090906,545.577,570.6369090909093,4.941181818181819,671.7458181818182,32.76745454545455,14.71809090909091,114.81172727272728,15.739272727272725,20.028181818181817,95.58200000000001,7.175727272727273,98.7181818181818,7.179181818181817,27.188000000000002,45.09854545454545,7.4647272727272735,6.09809090909091,5.946636363636363,8.464090909090912,Africa,2,0.4271,0.3716
Myanmar,-2.7364545454545457,-1.8722727272727269,28049.884545454544,39.981545454545454,-2516.5429999999997,-3.408909090909092,-1509.5515454545457,-2.0350909090909086,12404.079090909094,16.91581818181818,14920.623636363638,20.324818181818184,0.1879999999999999,71390.33636363636,1360126.259090909,3908.242727272727,1383712.294545455,4167.987272727273,1196.9109090909094,69932.01,6.297999999999999,71390.33636363636,214.13936363636364,61.43872727272728,99.2371818181818,28.139636363636367,323.94054545454543,120.0959090909091,6.046363636363638,123.8849090909091,5.924454545454546,51.18481818181818,30.876090909090905,12.259909090909092,3.6510000000000002,6.200909090909092,12.318909090909093,Western Pacific,3,0.5521,0.4324
Namibia,-6.765999999999999,-0.8112727272727274,59.70272727272727,38.460727272727276,-9.033272727272726,-6.154363636363637,-5.547363636363636,-3.936090909090909,45.67027272727273,31.76254545454545,54.70354545454546,37.9170909090909,0.0202727272727272,142.89290909090911,59282.78999999999,10021.326363636363,60823.26818181818,9968.84818181818,5321.756363636364,135.54518181818182,2.153545454545454,140.55118181818182,22.83736363636364,12.120181818181814,102.4380909090909,16.977272727272727,6.061636363636364,114.35963636363635,4.913272727272727,115.9918181818182,4.784363636363637,2.2855454545454545,22.52072727272727,0.756181818181818,-1.0054545454545456,-1.2013636363636364,0.6961818181818183,Africa,3,0.6271,0.5658
Netherlands,8.72490909090909,75.45572727272727,421.48881818181815,59.9379090909091,-11.802545454545458,-1.805636363636364,-4.173454545454547,-0.7039090909090909,300.39672727272733,42.35545454545454,312.19927272727267,44.16109090909091,0.7815454545454545,708.9239090909093,41298.30090909091,53962.547272727264,41792.73636363636,51956.369090909095,50873.462727272716,700.1070000000002,0.9735454545454544,708.9239090909093,881.6093636363637,862.1071818181816,101.09354545454543,29.06681818181817,0.8060909090909092,99.98154545454544,1.4637272727272723,100.63272727272728,1.4997272727272728,16.945727272727275,20.342,4.237000000000001,3.8405454545454543,3.8618181818181814,3.802636363636364,Europe,3,0.9329999999999999,0.9016
New Zealand,-2.8006363636363645,-5.269818181818182,87.59072727272728,33.75227272727273,-4.187909090909091,-1.7113636363636362,-2.4219999999999997,-1.0209090909090908,96.40863636363638,37.28727272727272,100.59663636363638,38.998909090909095,0.1554545454545454,258.81636363636363,48589.16090909091,39454.15727272727,55253.37090909092,37720.47090909092,40333.968181818185,226.77754545454545,2.4536363636363645,258.81636363636363,176.69254545454544,188.22199999999995,113.41818181818181,20.45336363636364,1.4656363636363636,140.87763636363638,1.5886363636363638,139.24736363636364,1.5818181818181818,4.65790909090909,22.32472727272727,4.478818181818182,2.225454545454545,1.6525454545454543,3.902636363636364,Western Pacific,5,0.9186,0.912
Nicaragua,-6.077727272727272,-0.6732727272727271,113.79363636363637,33.24727272727272,-4.50990909090909,-1.1837272727272727,-2.013909090909091,-0.504090909090909,82.18518181818182,24.532000000000004,86.695,25.71554545454546,0.0281818181818181,330.7772727272727,26021.78727272727,5359.268181818182,52574.48,5107.051818181818,1887.6036363636365,162.83227272727277,2.9006363636363637,330.7772727272727,32.03090909090909,11.820636363636364,200.01336363636364,21.387727272727272,10.16218181818182,188.52672727272727,5.38909090909091,193.45836363636369,5.5236363636363635,6.244090909090909,27.465636363636364,3.4412727272727266,4.769363636363637,4.036272727272728,2.6859090909090906,South and Central America,6,0.6459999999999999,0.5484
